LAMMPS data file via write_data, version 17 Apr 2024, timestep = 5000, units = lj

24000 atoms
2 atom types
21600 bonds
1 bond types

0 20 xlo xhi
0 20 ylo yhi
0 20 zlo zhi

Masses

1 1
2 1

PairIJ Coeffs # dpd

1 1 25 4.5 1
1 2 25 4.5 1
2 2 25 4.5 1

Bond Coeffs # harmonic

1 2 0

Atoms # bond

23040 2305 2 0.3585221918404295 1.2582478760743734 1.1290781825925076 1 1 1
1984 199 1 0.08410579604257151 0.8063225375577259 0.035646673147857494 1 1 0
23038 2304 2 0.5864394669967418 1.3016015465651078 0.778910960744717 1 1 1
22937 2294 2 0.7178237418234974 1.2859553160252726 0.1377787588084182 1 1 0
5949 595 2 1.5264123227343462 1.2019429170070874 1.3516876296233789 1 1 1
5950 596 2 1.0431711457466375 0.9239034919655503 1.3073013226381962 1 1 1
5946 595 2 1.5108362201590952 0.10867577945824494 0.6522951520885675 1 1 1
5947 595 2 0.9647162255944776 0.37067921081324884 1.0416665134011414 1 1 1
5948 595 2 1.5023474003582842 0.5032231907396643 1.1096899590701208 1 1 1
8947 895 2 0.27033845675433016 0.2169293436761875 0.6546271559138468 0 1 0
55 6 1 0.9592699292644666 0.19096733874068303 0.1586996900677562 1 0 1
8590 860 2 0.5524150446345086 0.010669027091515567 1.171276705534063 1 1 1
19593 1960 1 3.0585767903791 0.36994325517283205 0.9349588757338747 0 0 0
19596 1960 2 2.686560645001179 1.1102252142787 1.2386635753609603 0 0 0
19595 1960 1 2.123439691846898 0.5818360146921147 1.352091178656207 0 0 0
19592 1960 1 2.781543876964687 0.7056132529941427 1.5013532043593811 0 0 0
19597 1960 2 2.361131599750585 1.4146129583444338 1.0831033675700747 0 0 0
3030 304 2 1.8604444614148727 1.17921471851141 0.7906134340509785 0 0 0
3024 303 1 2.3531895879854825 0.40807308478600307 0.6365944009203092 0 0 0
5072 508 1 3.0325925613589644 1.1946603295110803 0.8467383146766064 0 1 0
21824 2183 1 1.9805668299603134 0.0388842622467358 0.3400321563800638 0 1 0
21825 2183 1 2.2531565169705843 0.907923539770825 0.5904744160683985 0 1 0
21826 2183 2 2.5835491546628964 1.0692107839912235 0.2109529770859745 0 1 0
7997 800 2 2.994742951122919 0.33005281409909887 0.1258671270412286 0 1 0
22290 2230 2 1.7670407603730016 1.24541614260353 0.31370415479462216 0 1 0
14185 1419 1 4.000848400067993 1.509240681454298 0.7848891781044027 0 0 0
18209 1821 2 3.5228497591557666 0.6872689962037756 0.9198563754547531 0 1 1
5071 508 1 3.34015123265695 1.5312694981826982 1.3863630845354529 0 0 0
23324 2333 1 4.596001382445144 0.4003349356424537 1.4507178001222054 0 1 0
5074 508 1 3.774270537297098 1.3710551648172609 1.3864543381290328 0 1 0
5073 508 1 4.406030125972025 0.8262594382694946 0.5124804221590464 0 1 0
11971 1198 1 4.211794923733927 0.0564749148064641 0.9978815480423788 0 0 0
11972 1198 1 4.447463939982675 0.9799370712905517 1.2793142117282899 0 1 0
7996 800 2 3.3412289240872504 0.3663922063796486 0.26485431091272466 0 1 0
12802 1281 1 3.9090489990651465 0.005314885188614331 0.14236798568530418 1 0 1
12803 1281 1 4.01141288536211 0.35131901232943297 0.2665848219318714 0 0 1
18208 1821 2 3.7893570000494448 1.1327719272715062 0.3442352951651883 0 1 1
12807 1281 2 5.416281765045398 0.09324742316632093 0.7948536341433774 0 0 1
12806 1281 2 4.964798612704377 0.2174631592595268 0.471426192934543 1 0 1
17037 1704 2 5.165711663601595 0.611715038044764 1.3631861896682247 0 1 0
13764 1377 1 5.651693566633853 0.6834610587740924 1.2377513645019536 0 1 0
13765 1377 1 5.648614508264034 1.2978309690038217 1.3763813719642224 0 1 0
22592 2260 1 4.714533267165187 1.3081857147291491 0.4390718728131144 0 0 1
17038 1704 2 5.17769493646121 1.0428006071161655 1.1492774894885271 0 1 0
7552 756 1 5.772294939938059 0.9355508367122045 0.5356375169199736 0 0 0
9251 926 1 5.977856398665997 0.4455687386471057 0.18220463090250158 0 0 0
22591 2260 1 5.076254448536226 0.8865533934565345 0.3071750947058513 0 0 1
12810 1282 2 7.489552300338398 0.21126535765911456 1.0548081150640058 0 0 0
1227 123 2 6.493912036981422 1.153917515741328 0.6125401044540245 0 0 1
